Date,Open,High,Low,Close,Adj Close,Volume
2012-12-17,136.03799438476562,136.09500122070312,135.42999267578125,136.10800170898438,136.10800170898438,0
2012-12-18,135.97300720214844,136.47999572753906,135.81500244140625,135.95199584960938,135.95199584960938,0
2012-12-19,137.04200744628906,137.8040008544922,136.92999267578125,137.0500030517578,137.0500030517578,0
2012-12-20,136.83999633789062,137.46299743652344,136.22000122070312,136.87600708007812,136.87600708007812,0
2012-12-21,137.3800048828125,137.39599609375,136.0590057373047,137.3769989013672,137.3769989013672,0
2012-12-24,136.3000030517578,136.91000366210938,136.2779998779297,136.33999633789062,136.33999633789062,0
2012-12-25,136.77999877929688,136.91900634765625,136.56300354003906,136.80999755859375,136.80999755859375,0
2012-12-26,137.1510009765625,138.14999389648438,137.1510009765625,137.13999938964844,137.13999938964844,0
2012-12-27,138.1479949951172,139.14599609375,138.10000610351562,138.14999389648438,138.14999389648438,0
2012-12-28,139.35000610351562,139.47000122070312,138.21400451660156,139.38299560546875,139.38299560546875,0
2012-12-31,138.91799926757812,140.5850067138672,138.7310028076172,138.89999389648438,138.89999389648438,0
2013-01-01,140.9600067138672,141.36000061035156,140.75999450683594,140.9499969482422,140.9499969482422,0
2013-01-02,140.6750030517578,142.72000122070312,140.531005859375,140.67100524902344,140.67100524902344,0
2013-01-03,141.75999450683594,141.82699584960938,140.16000366210938,141.83200073242188,141.83200073242188,0
2013-01-04,140.9770050048828,141.75999450683594,140.5469970703125,141.02000427246094,141.02000427246094,0
2013-01-07,141.72300720214844,141.72300720214844,140.47999572753906,141.71499633789062,141.71499633789062,0
2013-01-08,140.66799926757812,141.38499450683594,139.55799865722656,140.62399291992188,140.62399291992188,0
2013-01-09,139.56300354003906,140.86500549316406,139.56300354003906,139.48500061035156,139.48500061035156,0
2013-01-10,141.10000610351562,142.1699981689453,140.86500549316406,141.13900756835938,141.13900756835938,0
2013-01-11,144.35000610351562,144.35000610351562,143.0,144.24400329589844,144.24400329589844,0
2013-01-14,144.27699279785156,144.77999877929688,142.82699584960938,144.33999633789062,144.33999633789062,0
2013-01-15,143.8000030517578,144.15199279785156,141.67999267578125,143.80999755859375,143.80999755859375,0
2013-01-16,142.63999938964844,142.6959991455078,140.49600219726562,142.6699981689453,142.6699981689453,0
2013-01-17,141.80999755859375,143.4929962158203,140.8699951171875,141.7949981689453,141.7949981689453,0
2013-01-18,143.50100708007812,144.0449981689453,142.58700561523438,143.46299743652344,143.46299743652344,0
2013-01-21,142.96600341796875,142.96600341796875,141.8070068359375,142.97999572753906,142.97999572753906,0
2013-01-22,141.9199981689453,142.6199951171875,139.92100524902344,141.87899780273438,141.87899780273438,0
2013-01-23,140.20799255371094,140.78700256347656,139.24000549316406,140.1699981689453,140.1699981689453,0
2013-01-24,140.19000244140625,142.10000610351562,139.87600708007812,140.1999969482422,140.1999969482422,0
2013-01-25,142.85000610351562,144.2100067138672,142.5,142.9010009765625,142.9010009765625,0
